Time (s) Triangle,Voltage, Ch A (V) Triangle,Current, Ch B (A) Triangle,InductorV (V) Triangle,Slope (A/s) Triangle,Time (s) Sine,Voltage, Ch A (V) Sine,Current, Ch B (A) Sine,InductorV (V) Sine,Slope (A/s) Sine,Time (s) Square,Voltage, Ch A (V) Square,Current, Ch B (A) Square,InductorV (V) Square,Slope (A/s) Square
0.008,-1.790,-0.028,-0.87,,0.008,1.773,0.043,0.35,,0.008,3.366,0.012,2.96,
0.008,,,,-38.82,0.008,,,,12.08,0.008,,,,106.32
0.008,-1.913,-0.032,-0.86,,0.008,1.655,0.044,0.19,,0.008,2.811,0.023,2.05,
0.008,,,,-38.09,0.008,,,,6.96,0.008,,,,75.81
0.009,-2.028,-0.036,-0.85,,0.009,1.512,0.045,0.03,,0.009,2.424,0.031,1.42,
0.009,,,,-31.13,0.009,,,,-2.44,0.009,,,,51.39
0.009,-1.780,-0.039,-0.50,,0.009,1.345,0.045,-0.13,,0.009,2.156,0.036,0.98,
0.009,,,,-12.82,0.009,,,,-8.06,0.009,,,,36.74
0.009,-1.395,-0.040,-0.07,,0.009,1.156,0.044,-0.30,,0.009,1.968,0.039,0.67,
0.009,,,,2.69,0.009,,,,-15.26,0.009,,,,24.90
0.009,-1.089,-0.040,0.22,,0.009,0.948,0.042,-0.45,,0.009,1.838,0.042,0.46,
0.009,,,,12.21,0.009,,,,-20.75,0.009,,,,18.43
0.009,-0.840,-0.039,0.43,,0.009,0.728,0.040,-0.60,,0.009,1.748,0.044,0.31,
0.009,,,,22.22,0.009,,,,-28.44,0.009,,,,11.35
0.009,-0.629,-0.036,0.57,,0.009,0.496,0.038,-0.74,,0.009,1.685,0.045,0.21,
0.009,,,,25.15,0.009,,,,-33.33,0.009,,,,9.77
0.009,-0.444,-0.034,0.67,,0.009,0.255,0.034,-0.87,,0.009,1.641,0.046,0.13,
0.009,,,,30.15,0.009,,,,-40.89,0.009,,,,5.49
0.009,-0.277,-0.031,0.74,,0.009,0.008,0.030,-0.99,,0.009,1.611,0.046,0.08,
0.009,,,,32.47,0.009,,,,-42.97,0.009,,,,3.05
0.009,-0.125,-0.028,0.79,,0.009,-0.236,0.026,-1.09,,0.009,1.590,0.047,0.05,
0.009,,,,34.79,0.009,,,,-47.97,0.009,,,,3.42
0.009,0.019,-0.024,0.81,,0.009,-0.477,0.021,-1.17,,0.009,1.574,0.047,0.02,
0.009,,,,36.25,0.009,,,,-50.05,0.009,,,,1.22
0.010,0.157,-0.020,0.83,,0.010,-0.710,0.016,-1.24,,0.010,1.564,0.047,0.01,
0.010,,,,35.89,0.010,,,,-55.91,0.010,,,,1.46
0.010,0.291,-0.017,0.85,,0.010,-0.933,0.010,-1.28,,0.010,1.558,0.047,0.00,
0.010,,,,35.77,0.010,,,,-55.91,0.010,,,,0.98
0.010,0.421,-0.013,0.86,,0.010,-1.141,0.005,-1.30,,0.010,1.553,0.047,-0.01,
0.010,,,,36.50,0.010,,,,-55.05,0.010,,,,2.69
0.010,0.548,-0.010,0.87,,0.010,-1.330,-6.775E-4,-1.31,,0.010,1.550,0.048,-0.02,
0.010,,,,36.87,0.010,,,,-56.64,0.010,,,,-0.12
0.010,0.673,-0.006,0.87,,0.010,-1.500,-0.006,-1.29,,0.010,1.548,0.048,-0.02,
0.010,,,,40.04,0.010,,,,-54.44,0.010,,,,0.37
0.010,0.800,-0.002,0.86,,0.010,-1.646,-0.012,-1.26,,0.010,1.546,0.048,-0.03,
0.010,,,,35.89,0.010,,,,-54.20,0.010,,,,-0.12
0.010,0.924,0.002,0.87,,0.010,-1.765,-0.017,-1.20,,0.010,1.544,0.048,-0.03,
0.010,,,,38.70,0.010,,,,-51.27,0.010,,,,0.61
0.010,1.049,0.005,0.87,,0.010,-1.856,-0.022,-1.12,,0.010,1.544,0.048,-0.03,
0.010,,,,36.74,0.010,,,,-45.41,0.010,,,,-1.71
0.010,1.172,0.009,0.87,,0.010,-1.917,-0.027,-1.03,,0.010,1.542,0.048,-0.03,
0.010,,,,39.31,0.010,,,,-43.82,0.010,,,,-0.37
0.010,1.296,0.013,0.86,,0.010,-1.950,-0.031,-0.92,,0.010,1.542,0.047,-0.03,
0.010,,,,37.96,0.010,,,,-36.25,0.010,,,,-7.45
0.011,1.420,0.017,0.86,,0.011,-1.950,-0.035,-0.80,,0.011,-0.358,0.047,-1.90,
0.011,,,,38.82,0.011,,,,-35.64,0.011,,,,-209.11
0.011,1.543,0.021,0.86,,0.011,-1.922,-0.038,-0.65,,0.011,-5.314,0.026,-6.17,
0.011,,,,35.64,0.011,,,,-23.80,0.011,,,,-224.85
0.011,1.666,0.024,0.86,,0.011,-1.862,-0.041,-0.51,,0.011,-4.164,0.003,-4.27,
0.011,,,,39.43,0.011,,,,-20.02,0.011,,,,-153.44
0.011,1.791,0.028,0.86,,0.011,-1.772,-0.043,-0.36,,0.011,-3.365,-0.012,-2.97,
0.011,,,,37.72,0.011,,,,-13.31,0.011,,,,-107.91
0.011,1.914,0.032,0.86,,0.011,-1.655,-0.044,-0.20,,0.011,-2.810,-0.023,-2.06,
0.011,,,,38.33,0.011,,,,-5.49,0.011,,,,-75.20
0.011,2.030,0.036,0.85,,0.011,-1.511,-0.045,-0.04,,0.011,-2.423,-0.030,-1.42,
0.011,,,,30.88,0.011,,,,0.00,0.011,,,,-52.37
0.011,1.780,0.039,0.49,,0.011,-1.344,-0.045,0.13,,0.011,-2.153,-0.036,-0.98,
0.011,,,,12.94,0.011,,,,8.79,0.011,,,,-36.13
0.011,1.395,0.040,0.07,,0.011,-1.155,-0.044,0.29,,0.011,-1.967,-0.039,-0.68,
0.011,,,,-2.93,0.011,,,,13.79,0.011,,,,-25.02
0.011,1.089,0.040,-0.23,,0.011,-0.949,-0.042,0.45,,0.011,-1.838,-0.042,-0.46,
0.011,,,,-14.04,0.011,,,,22.95,0.011,,,,-19.53
0.011,0.840,0.039,-0.43,,0.011,-0.726,-0.040,0.60,,0.011,-1.747,-0.044,-0.31,
0.011,,,,-20.75,0.011,,,,27.95,0.011,,,,-11.60
0.011,0.629,0.036,-0.58,,0.011,-0.495,-0.037,0.74,,0.011,-1.684,-0.045,-0.21,
0.012,,,,-26.12,0.012,,,,35.28,0.012,,,,-7.08
0.012,0.445,0.034,-0.67,,0.012,-0.252,-0.034,0.86,,0.012,-1.641,-0.045,-0.14,
0.012,,,,-29.17,0.012,,,,39.31,0.012,,,,-6.23
0.012,0.279,0.031,-0.74,,0.012,-0.007,-0.030,0.98,,0.012,-1.610,-0.046,-0.09,
0.012,,,,-31.86,0.012,,,,42.85,0.012,,,,-3.91
0.012,0.127,0.028,-0.79,,0.012,0.237,-0.026,1.08,,0.012,-1.590,-0.046,-0.06,
0.012,,,,-32.84,0.012,,,,49.44,0.012,,,,-2.32
0.012,-0.017,0.024,-0.83,,0.012,0.479,-0.021,1.16,,0.012,-1.575,-0.047,-0.03,
0.012,,,,-36.50,0.012,,,,50.42,0.012,,,,-2.08
0.012,-0.156,0.021,-0.84,,0.012,0.712,-0.016,1.23,,0.012,-1.565,-0.047,-0.02,
0.012,,,,-36.38,0.012,,,,53.22,0.012,,,,-1.46
0.012,-0.288,0.017,-0.86,,0.012,0.933,-0.010,1.27,,0.012,-1.559,-0.047,-0.01,
0.012,,,,-38.09,0.012,,,,57.62,0.012,,,,-1.71
0.012,-0.419,0.013,-0.86,,0.012,1.142,-0.005,1.29,,0.012,-1.553,-0.047,0.01,
0.012,,,,-35.77,0.012,,,,56.52,0.012,,,,-0.73
0.012,-0.546,0.010,-0.87,,0.012,1.332,0.001,1.30,,0.012,-1.548,-0.047,0.01,
0.012,,,,-37.35,0.012,,,,54.44,0.012,,,,0.61
0.012,-0.672,0.006,-0.87,,0.012,1.500,0.007,1.28,,0.012,-1.547,-0.047,0.01,
0.012,,,,-37.72,0.012,,,,56.27,0.012,,,,0.61
0.013,-0.798,0.002,-0.87,,0.013,1.647,0.012,1.24,,0.013,-1.545,-0.047,0.01,
0.013,,,,-36.62,0.013,,,,52.49,0.013,,,,-1.46
0.013,-0.922,-0.001,-0.88,,0.013,1.765,0.017,1.19,,0.013,-1.543,-0.047,0.02,
0.013,,,,-38.45,0.013,,,,51.27,0.013,,,,-0.73
0.013,-1.047,-0.005,-0.88,,0.013,1.856,0.023,1.11,,0.013,-1.544,-0.047,0.02,
0.013,,,,-37.84,0.013,,,,47.00,0.013,,,,0.85
0.013,-1.171,-0.009,-0.87,,0.013,1.918,0.027,1.02,,0.013,-1.542,-0.047,0.02,
0.013,,,,-38.09,0.013,,,,41.38,0.013,,,,-0.73
0.013,-1.295,-0.013,-0.87,,0.013,1.950,0.031,0.91,,0.013,-1.542,-0.047,0.02,
0.013,,,,-38.09,0.013,,,,38.70,0.013,,,,10.74
0.013,-1.419,-0.017,-0.87,,0.013,1.952,0.035,0.79,,0.013,0.360,-0.046,1.89,
0.013,,,,-38.45,0.013,,,,33.20,0.013,,,,208.62
0.013,-1.544,-0.020,-0.87,,0.013,1.922,0.039,0.65,,0.013,5.314,-0.025,6.15,
0.013,,,,-38.09,0.013,,,,24.05,0.013,,,,222.90
0.013,-1.667,-0.024,-0.87,,0.013,1.862,0.041,0.51,,0.013,4.165,-0.003,4.27,
0.013,,,,-38.94,0.013,,,,20.75,0.013,,,,155.76
0.013,-1.791,-0.028,-0.86,,0.013,1.773,0.043,0.35,,0.013,3.366,0.012,2.96,
0.013,,,,-37.48,0.013,,,,13.79,0.013,,,,105.71
0.013,-1.914,-0.032,-0.86,,0.013,1.655,0.044,0.19,,0.013,2.811,0.023,2.05,
0.013,,,,-37.96,0.013,,,,4.76,0.013,,,,75.81
0.014,-2.030,-0.036,-0.85,,0.014,1.511,0.045,0.03,,0.014,2.424,0.031,1.42,
0.014,,,,-32.47,0.014,,,,-0.37,0.014,,,,52.25
0.014,-1.780,-0.039,-0.50,,0.014,1.344,0.045,-0.14,,0.014,2.156,0.036,0.98,
0.014,,,,-11.72,0.014,,,,-8.79,0.014,,,,35.89
0.014,-1.395,-0.040,-0.07,,0.014,1.156,0.044,-0.30,,0.014,1.969,0.039,0.67,
0.014,,,,2.81,0.014,,,,-15.38,0.014,,,,24.54
0.014,-1.089,-0.040,0.22,,0.014,0.949,0.042,-0.45,,0.014,1.838,0.042,0.46,
0.014,,,,13.18,0.014,,,,-21.85,0.014,,,,17.33
0.014,-0.840,-0.039,0.43,,0.014,0.727,0.040,-0.60,,0.014,1.748,0.044,0.31,
0.014,,,,20.39,0.014,,,,-26.73,0.014,,,,14.53
0.014,-0.629,-0.036,0.57,,0.014,0.496,0.038,-0.75,,0.014,1.686,0.045,0.20,
0.014,,,,27.59,0.014,,,,-36.13,0.014,,,,6.23
0.014,-0.444,-0.034,0.67,,0.014,0.253,0.034,-0.87,,0.014,1.641,0.046,0.14,
0.014,,,,28.32,0.014,,,,-38.70,0.014,,,,7.20
0.014,-0.279,-0.031,0.74,,0.014,0.008,0.030,-0.99,,0.014,1.611,0.046,0.08,
0.014,,,,33.20,0.014,,,,-43.58,0.014,,,,4.03
0.014,-0.124,-0.028,0.78,,0.014,-0.236,0.026,-1.09,,0.014,1.590,0.047,0.05,
0.014,,,,35.89,0.014,,,,-48.83,0.014,,,,1.95
0.014,0.020,-0.024,0.81,,0.014,-0.477,0.021,-1.17,,0.014,1.575,0.047,0.03,
0.014,,,,33.94,0.014,,,,-50.42,0.014,,,,1.95
